"rownum","Stat","GameObjectTask","i32_32","bool_36","bool_37","bool_38","bool_39"
0,16483,29,1,"",1,"",""
1,22743,30,1,"",1,"",""
2,22744,30,1,"",1,"",""
3,17863,33,1,"",1,"",""
4,17904,39,0,1,"","",""
5,18113,38,0,1,"","",""
6,18191,41,0,"","","",""
7,18621,50,0,1,"","",""
8,18688,52,0,1,1,1,""
9,18751,53,0,"",1,"",""
10,18778,54,0,"","","",""
11,18994,55,0,"",1,"",""
12,18996,56,0,"","","",""
13,19013,57,0,"",1,"",""
14,19102,59,0,"",1,"",""
15,19110,60,0,"",1,"",""
16,19111,60,0,"",1,"",""
17,19113,61,0,"",1,"",""
18,19136,62,1,"",1,"",""
19,18973,64,0,"",1,"",""
20,18972,64,0,"",1,"",""
21,18970,67,0,"",1,"",""
22,19215,69,0,"",1,"",""
23,19270,73,0,1,1,1,""
24,19290,74,1,"",1,"",""
25,19296,75,1,"",1,"",""
26,19298,85,1,"",1,1,1
27,19299,85,1,"",1,1,1
28,19328,76,0,"",1,"",""
29,19419,77,0,"",1,"",""
30,19492,85,1,1,1,1,1
31,19593,80,0,"",1,"",""
32,19758,83,0,"",1,"",""
33,19853,86,0,1,1,1,""
34,20005,89,1,1,1,1,""
35,20415,92,1,1,1,"",""
36,20463,93,0,"","","",""
37,20862,99,0,"",1,"",""
38,20974,102,0,"",1,"",""
39,21075,103,1,1,1,1,1
40,21082,104,0,"",1,"",""
41,21085,107,1,"",1,"",""
42,21475,114,1,"",1,"",""
43,21476,109,1,"",1,"",""
44,21716,122,0,"",1,"",""
45,21717,123,1,"",1,"",""
46,21718,124,1,"",1,"",""
47,22313,134,0,"",1,"",""
48,22355,135,0,"",1,"",""
49,22404,136,1,"",1,"",""
50,22457,141,1,1,1,1,""
51,22742,145,0,"",1,"",""
52,23064,158,0,"",1,"",""
53,23269,160,0,"",1,"",""
54,23270,161,0,"",1,"",""
