"rownum","Id","MtxTypeGameSpecific","HASH32"
0,10007,4240,241092318
1,10467,4241,3605421231
2,10470,4242,3969738284
3,12631,4243,3231507541
4,11852,4244,75060906
5,12878,4245,2748258546
6,11265,4246,3632845247
7,12876,4247,3072595325
8,11947,4248,2821934464
9,10255,4249,2305833828
10,12875,4250,2426254568
11,11835,4251,359955857
12,11830,4252,1311467939
13,12602,4253,3320422308
14,11263,4254,3465824822
15,11950,4255,1238657137
16,11262,4256,1556548718
17,12874,4257,898977981
18,12873,4258,1852863866
19,12877,4259,2368411576
20,11865,4260,3197586296
21,11850,4261,3847618083
22,12600,4262,2587661813
23,11864,4263,1881520832
24,10009,4264,809946488
25,10203,4265,4133130272
26,11952,4266,1438706210
27,12629,4267,2484239094
28,11833,4268,79690690
29,12555,4269,1470875728
30,10014,4270,2840082233
31,12630,4271,3158173826
32,12879,4272,3449883501
33,12558,4273,2677301560
34,10199,4274,1589443200
35,10254,4275,217182782
36,11866,4276,3240748992
37,10016,4277,2360053647
38,10008,4278,2150113030
39,11948,4279,3333423855
40,11261,4280,4284709115
41,10473,4281,178471226
42,10510,4282,3615135699
43,10323,4283,3743768571
44,7902,4285,823943942
45,10474,4286,1695138765
46,10359,4287,1042835715
47,12627,4288,3107376158
48,11831,4289,2490963904
49,11848,4290,2144048919
50,10325,4291,2105666940
51,11892,4292,3461410196
52,10260,4293,2019732113
53,10019,4294,2996849151
54,10503,4295,2457996590
55,10318,4296,179196667
56,10352,4297,3085553602
57,10313,4298,2942566488
58,10360,4299,2712386779
59,10358,4300,3974409415
60,10316,4301,1998717565
61,10202,4302,2598921795
62,10472,4303,581689
63,10310,4304,3300200491
64,12554,4305,1121449463
65,10505,4306,988602414
66,10476,4307,2404842188
67,10314,4308,1670272265
68,10506,4309,1061245871
69,10326,4310,2731387702
70,10315,4311,3457530928
71,10356,4312,2981587904
72,10322,4313,591994908
73,11862,4314,3643197414
74,10509,4315,2669983723
75,10502,4316,2395640630
76,10507,4317,1064830047
77,10319,4318,1606123339
78,10357,4319,3408730257
79,10012,4320,757782947
80,10355,4321,2646996072
81,12599,4322,2314850534
82,10508,4323,2137168354
83,12626,4324,2425829678
84,10468,4325,3921769450
85,11832,4326,3408581205
86,10263,4327,3419838183
87,10327,4328,3768056906
88,10353,4329,3471743636
89,10500,4330,3119462810
90,10262,4331,1281500251
91,10501,4332,2283058452
92,10010,4333,354591994
93,11847,4334,1894967284
94,11264,4335,1053791753
95,11951,4336,267878817
96,11851,4337,2910387959
97,12601,4338,4157424065
98,10261,4339,1681370264
99,12597,4340,1527329667
100,10002,4341,1321370010
101,10471,4342,1282291954
102,10361,4343,4050332498
103,10311,4344,2390845724
104,10011,4345,3002343345
105,10013,4346,1412694076
106,12598,4347,1097432357
107,12553,4348,269078685
108,11260,4349,1939001032
109,10208,4350,4058571259
110,12628,4351,2752508167
111,10205,4352,355093100
112,11863,4353,4050696571
113,11949,4354,2020276108
114,10317,4355,791923414
115,12556,4356,4142402313
116,10354,4357,845586367
117,11861,4358,1030607070
118,10005,4359,1428447258
119,10207,4360,1662453964
120,10201,4361,1086159006
121,10200,4362,3051374836
122,10204,4363,1720992431
123,13023,4364,656298985
124,13024,4365,582388939
125,10206,4366,2964538371
126,11849,4367,10691341
127,12557,4368,3539541427
128,10004,4369,2852455443
129,10006,4370,1506993028
130,10259,4371,670027263
131,10312,4372,893483974
132,10475,4373,556899756
133,10003,4374,948244203
134,10258,4375,309564985
135,10324,4376,644717207
136,10504,4377,201423924
137,11834,4378,3869450755
138,10256,4379,1890357588
139,10257,4380,2691544235
140,10015,4381,788156195
141,10469,4382,2337285685
142,14542,4383,2045753637
143,7916,4384,4166070505
144,8314,4385,1955122677
145,7879,4386,962398136
146,8020,4387,577143885
147,8098,4388,918643125
148,9910,4389,229705408
149,11945,4390,3231257484
150,12032,4391,1730251011
151,10321,4392,1218467030
152,9911,4393,2844283280
153,10363,4394,3465901453
154,12033,4395,615496637
155,11266,4396,951233410
156,11946,4397,2324122819
157,8099,4398,700761527
158,8021,4399,998675723
159,10477,4400,2308657992
160,7901,4284,4160879160
