"rownum","Id","Mod","StatDescription"
0,"GenesisTreeRingMaximumElementalInfusionCrafted",15451,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
1,"GenesisTreeRingSealGainFrequencyCrafted",15452,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
2,"GenesisTreeAmuletColdDamageAsPortionOfDamageCrafted",15446,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
3,"GenesisTreeAmuletAnaemiaOnHitCrafted",15447,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
4,"GenesisTreeFireSpellBaseCriticalChanceCrafted",15448,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
5,"GenesisTreeAdditionalMaximumSealsCrafted",15449,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
6,"GenesisTreeRingMinionAdditionalProjectileChanceCrafted",15450,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
7,"GenesisTreeRingOfferingEffectCrafted",15453,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
8,"GenesisTreeRingTemporaryMinionLimitCrafted",15454,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
9,"GenesisTreeRingMinionArmourBreakCrafted",15455,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
10,"GenesisTreeRingMinionAilmentMagnitudeCrafted",15456,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
11,"GenesisTreeRingCommandSkillSpeedCrafted",15457,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
12,"GenesisTreeRingMinionCooldownRecoveryCrafted",15458,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
13,"GenesisTreeRingMinionPuppetMasterCrafted",15459,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
14,"GenesisTreeRingSpellDamageAsExtraLightningCrafted",15460,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
15,"GenesisTreeRingSpellDamageAsExtraFireCrafted",15461,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
16,"GenesisTreeRingSpellDamageAsExtraColdCrafted",15462,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
17,"GenesisTreeRingSpellDamageAsExtraChaosCrafted",15463,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
18,"GenesisTreeRingDamageTakenFromManaBeforeLifeCrafted",15464,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
19,"GenesisTreeRingExposureEffectCrafted",15465,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
20,"GenesisTreeRingMaximumInvocationEnergyCrafted",15466,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
21,"GenesisTreeRingSpellImpaleEffectCrafted",15467,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
22,"GenesisTreeBeltFireDamageIfFireInfusionCollectedLast8SecondsCrafted",15468,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
23,"GenesisTreeBeltLightningDamageIfLightningInfusionCollectedLast8SecondsCrafted",15469,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
24,"GenesisTreeBeltColdDamageIfColdInfusionCollectedLast8SecondsCrafted",15470,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
25,"GenesisTreeBeltArchonEffectCrafted",15471,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
26,"GenesisTreeBeltChanceToNotConsumeInfusionIfLostArchonPast6SecondsCrafted",15472,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
27,"GenesisTreeBeltSpellElementalAilmentMagnitudeCrafted",15473,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
28,"GenesisTreeBeltArchonDurationCrafted",15474,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
29,"GenesisTreeBeltArchonUndeathOnOfferingUseCrafted",15475,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
30,"GenesisTreeBeltMinionDamagePerDifferentCommandSkillUsedLast15SecondsCrafted",15476,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
31,"GenesisTreeBeltMinionsGiganticRevivedRecentlyCrafted",15477,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
32,"GenesisTreeBeltDamageRemovedFromSpectresCrafted",15478,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
33,"GenesisTreeBeltMinionReservationEfficiencyCrafted",15479,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
34,"GenesisTreeBeltMinionMeleeSplashCrafted",15480,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
35,"GenesisTreeBeltMinionDurationCrafted",15481,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
36,"GenesisTreeBeltMinionAdditionalProjectileChanceCrafted",15450,"Data/StatDescriptions/advanced_mod_stat_descriptions.csd"
