"rownum","Id","i32_8","i32_12","i32_16","i32_20","rid_24","Mods"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[11050]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[11050,11093]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[11088]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[11088,11093]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[11089]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[11089,11093]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[11090]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[11090,11093]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[11091]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[11091,11093]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[11092]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[11092,11093]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[11039]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[11039,11040]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[11039]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[11039]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[11039]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[11039]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[11041]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[11041,11040]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[11041]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[11041]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[11041]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[11041]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[11042]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[11042,11040]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[11042]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[11042]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[11042]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[11042]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[11043]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[11043,11040]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[11043]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[11043]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[11043]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[11043]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[11044]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[11044,11040]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[11044]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[11044]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[11044]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[11044]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[11047,11045]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[11047,11045,11040]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[11047,11045]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[11047,11045]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[11047,11045]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[11047,11045]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[11048,11046]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[11048,11046,11040]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[11048,11046]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[11048,11046]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[11048,11046]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[11048,11046]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[11049,11039]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[11049,11047]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[11039,11040,12016]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[11039,11040,12016]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[11039,11040,12016]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[11039,11040,12016]"
