"rownum","rid_0","rid_16","i32_32","i32_36","rid_40","rid_56","rid_72","bool_88","bool_89","i32_90","bool_94"
0,6722,2452,2,3,"","",21232,"","",0,""
1,306,32,1,0,"","",18371,"","",0,""
2,404,30,1,0,"","",18372,"","",0,""
3,839,2648,2,1,"","",21190,1,"",0,""
4,881,2611,1,0,"","",21432,"","",0,""
5,821,2668,1,0,"","",21111,1,"",0,""
6,970,2668,1,0,"","",21111,1,"",0,""
7,831,2672,1,0,"","",21160,"","",0,""
8,426,32,1,0,"","",2586,"","",0,""
9,428,2771,1,0,"","",22664,1,"",0,1
10,108,31,3,0,"","",18373,"","",0,""
11,7000,2880,3,0,"","",23685,"",1,0,""
