"rownum","rid_0","[i32]_16","f32_32"
0,3723,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
1,3724,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
2,3725,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
3,3726,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
4,3727,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
5,3728,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
6,3729,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
7,3730,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
8,3731,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
9,3732,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
10,3733,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
11,3734,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
12,3735,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
13,3736,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
14,3737,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
15,3738,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
16,3739,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
17,3740,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
18,3741,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
19,3742,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
20,3743,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
21,3744,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
22,3745,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
23,3746,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
24,3747,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
25,3748,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
26,3749,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
27,3750,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
28,3751,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
29,3752,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
30,3753,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
31,3754,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
32,3755,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
33,3756,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
34,3757,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
35,3758,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
36,3759,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
37,3760,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
38,3761,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
39,3762,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
40,3763,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
41,3764,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
42,3765,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
43,3766,"[7274566,7471221,7143503,7209061,7274563,7536750,7143541,101]",1
