"rownum","Id","ItemClassesKey","Width","Height","Name","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffectsKey","NormalPurchase_BaseItemTypesKeys","NormalPurchase_Costs","MagicPurchase_BaseItemTypesKeys","MagicPurchase_Costs","TagsKeys","ModDomainsKey","IsDropDisabled","ItemVisualIdentityKey","i32","VendorRecipe_AchievementItemsKeys","RarePurchase_BaseItemTypesKeys","RarePurchase_Costs","UniquePurchase_BaseItemTypesKeys","UniquePurchase_Costs","Inflection","Equip_AchievementItemsKey","IsCorrupted","Identify_AchievementItemsKeys","ItemThemesKey","IdentifyMagic_AchievementItemsKeys","FragmentBaseItemTypesKey","bool","ItemShopType","rid","rid","bool"
0,"Metadata/Items/Currency/CurrencyWeaponQuality",30,1,1,"Blacksmith's Whetstone","Metadata/Items/Currency/StackableCurrency",1,"",[],1,35,[4],[3],[],[],[348],29,"",0,1154719587,[],[],[],[],[],"","","",[],"",[],"","","","","",""
1,"Metadata/Items/Currency/CurrencyIdentification",30,1,1,"Scroll of Wisdom","Metadata/Items/Currency/StackableCurrency",1,"",[],1,27,[],[],[],[],[],29,"",1,1351093167,[7243],[],[],[],[],"","","",[],"",[],"","","","","",""
2,"Metadata/Items/Currency/CurrencyRerollRare",30,1,1,"Chaos Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[6],[3],[],[],[],29,"",2,1934876153,[7484],[],[],[],[],"","","",[],"",[],"","","","","",""
3,"Metadata/Items/Currency/CurrencyRerollRareVeiled",30,1,1,"Veiled Chaos Orb","Metadata/Items/Currency/StackableCurrency",61,"",[],1,34,[],[],[],[],[],29,"",3,-1550851543,[],[],[],[],[],"","","",[],"",[],"","","","","",""
4,"Metadata/Items/Currency/CurrencyArmourQuality",30,1,1,"Armourer's Scrap","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[0],[1],[],[],[348],29,"",4,-66826851,[],[],[],[],[],"","","",[],"",[],"","","","","",""
5,"Metadata/Items/Currency/CurrencyDuplicate",30,1,1,"Mirror of Kalandra","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[22],[223],[],[],[],29,"",6,2042772245,[],[],[],[],[],"","","",[],"",[],"","","","","",""
6,"Metadata/Items/Currency/CurrencyUpgradeToRare",30,1,1,"Orb of Alchemy","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[8],[1],[],[],[],29,"",7,-1861203649,[],[],[],[],[],"","","",[],"",[],"","","","","",""
7,"Metadata/Items/Currency/CurrencyUpgradeRandomly",30,1,1,"Orb of Chance","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[20],[1],[],[],[],29,"",8,-982307707,[7483],[],[],[],[],"","","",[],"",[],"","","","","",""
8,"Metadata/Items/Currency/CurrencyPassiveRefund",30,1,1,"Orb of Regret","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[12],[2],[],[],[],29,"",9,-1689566555,[],[],[],[],[],"","","",[],"",[],"","","","","",""
9,"Metadata/Items/Currency/CurrencyAtlasPassiveRefund",30,1,1,"Orb of Unmaking","Metadata/Items/Currency/StackableCurrency",78,"",[],1,34,[],[],[],[],[],29,"",10,-402031475,[],[],[],[],[],"","","",[],"",[],"",1,"","","",""
10,"Metadata/Items/Currency/CurrencyUpgradeToMagic",30,1,1,"Orb of Transmutation","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[16],[7],[],[],[],29,"",11,1315720499,[],[],[],[],[],"","","",[],"",[],"","","","","",""
11,"Metadata/Items/Currency/CurrencyRerollMagic",30,1,1,"Orb of Alteration","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[15],[4],[],[],[],29,"",12,-684555689,[],[],[],[],[],"","","",[],"",[],"","","","","",""
12,"Metadata/Items/Currency/CurrencyConvertToNormal",30,1,1,"Orb of Scouring","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[7],[4],[],[],[],29,"",13,2131686967,[148],[],[],[],[],"","","",[],"",[],"","","","","",""
13,"Metadata/Items/Currency/CurrencyAddModToRare",30,1,1,"Exalted Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[14],[5],[],[],[],29,"",15,-1068542423,[],[],[],[],[],"","","",[],"",[],"","","","","",""
14,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",30,1,1,"Regal Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[2],[16],[],[],[],29,"",16,-658682019,[],[],[],[],[],"","","",[],"",[],"","","","","",""
15,"Metadata/Items/Currency/CurrencyAddModToMagic",30,1,1,"Orb of Augmentation","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[10],[4],[],[],[],29,"",17,-172267806,[],[],[],[],[],"","","",[],"",[],"","","","","",""
16,"Metadata/Items/Currency/CurrencyPortal",30,1,1,"Portal Scroll","Metadata/Items/Currency/StackableCurrency",2,"",[],1,27,[1],[3],[],[],[],29,"",18,1328218349,[],[],[],[],[],"","","",[],"",[],"","","","","",""
17,"Metadata/Items/Currency/CurrencyFlaskQuality",30,1,1,"Glassblower's Bauble","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[0],[8],[],[],[348],29,"",19,-579550017,[7246],[],[],[],[],"","","",[],"",[],"","","","","",""
18,"Metadata/Items/Currency/CurrencyGemQuality",30,1,1,"Gemcutter's Prism","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[17],[20],[],[],[348],29,"",20,128553707,[7734],[],[],[],[],"","","",[],"",[],"","","","","",""
19,"Metadata/Items/Currency/CurrencyRerollSocketColours",30,1,1,"Chromatic Orb","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[21],[3],[],[],[],29,"",29,471734571,[7732],[],[],[],[],"","","",[],"",[],"","","","","",""
20,"Metadata/Items/Currency/CurrencyRerollSocketLinks",30,1,1,"Orb of Fusing","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[21],[4],[],[],[],29,"",30,-954468979,[],[],[],[],[],"","","",[],"",[],"","","","","",""
21,"Metadata/Items/Currency/CurrencyRerollSocketNumbers",30,1,1,"Jeweller's Orb","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[11],[2],[],[],[],29,"",31,-577668719,[7983],[],[],[],[],"","","",[],"",[],"","","","","",""
22,"Metadata/Items/Currency/CurrencyModValues",30,1,1,"Divine Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[13],[4],[],[],[],29,"",32,-2147189507,[7252],[],[],[],[],"","","",[],"",[],"","","","","",""
23,"Metadata/Items/Currency/CurrencyRerollImplicit",30,1,1,"Blessed Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[14],[1],[],[],[],29,"",33,764311090,[],[],[],[],[],"","","",[],"",[],"","","","","",""
24,"Metadata/Items/Currency/CurrencyMapQuality",30,1,1,"Cartographer's Chisel","Metadata/Items/Currency/StackableCurrency",52,"",[],1,34,[],[],[],[],[348],29,"",5,-601787753,[7485],[],[],[],[],"","","",[],"",[],"","","","","",""
