"rownum","BaseItemTypesKey","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","i32","DropLevelMinimum","DropLevelMaximum","Monster_ModsKeys","EssenceTypeKey","Level","i32","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence"
0,69,"","","","","","","","","","","","","",2965,"","",2965,"","","","","",-1010710615,1,47,"[11505,11513]",0,1,700,1745,"","","",1757,2965,"",2965,2965,2965,2965,1745,1745,1757,1757,1757,1757,1745,1745,1745,1745,1745,1745,1745,11359,35,2965,3443,3443,3443,2965,"",""
1,70,"","","","","","","","","","","","","",2966,"","",2966,"","","","","",1794042691,12,67,"[11506,11513]",0,2,770,1746,"","","",1758,2966,"",2966,2966,2966,2966,1746,1746,1758,1758,1758,1758,1746,1746,1746,1746,1746,1746,1746,11360,45,2966,3444,3444,3444,2966,"",""
2,71,"","","","","","","","","","","","","",2967,"","",2967,"","","","","",-1926556014,30,100,"[11507,11513]",0,3,847,1748,"","","",1760,2967,"",2967,2967,2967,2967,1748,1748,1760,1760,1760,1760,1748,1748,1748,1748,1748,1748,1748,11361,60,2967,3445,3445,3445,2967,"",""
3,72,"","","","","","","","","","","","","",2968,"","",2968,"","","","","",1130285480,48,100,"[11508,11513]",0,4,931,1750,"","","",1762,2968,"",2968,2968,2968,2968,1750,1750,1762,1762,1762,1762,1750,1750,1750,1750,1750,1750,1750,11362,75,2968,3446,3446,3446,2968,"",""
4,73,"","","","","","","","","","","","","",2970,"","",2970,"","","","","",2062300730,68,100,"[11509,11513]",0,5,1024,1752,"","","",1764,2970,"",2970,2970,2970,2970,1752,1752,1764,1764,1764,1764,1752,1752,1752,1752,1752,1752,1752,11363,0,2970,3447,3447,3447,2970,"",1
5,74,"","","","","","","","","","","","","",2971,"","",2971,"","","","","",-2071586625,0,0,"[11510,11513]",0,6,0,1753,"","","",1765,2971,"",2971,2971,2971,2971,1753,1753,1765,1765,1765,1765,1753,1753,1753,1753,1753,1753,1753,11364,0,2971,3448,3448,3448,2971,"",""
6,75,"","","","","","","","","","","","",1755,2972,"","",2972,"","","","","",1769493148,0,0,"[11511,11513]",0,7,0,1755,"","","",1777,2972,"",2972,2972,2972,2972,1755,1755,1777,1777,1777,1777,1755,1755,1755,1755,1755,1755,1755,11365,0,2972,3449,3449,3449,2972,"",""
7,76,"","","","","","","","","","","","","",2303,1861,604,604,"","","","","",-777397213,1,47,[11505],1,1,700,"","",2170,2182,"",684,"",684,684,684,684,2182,2170,2182,2182,2182,2182,2170,2170,2170,2170,2170,2170,2170,11451,35,604,1861,604,"",684,"",""
8,77,"","","","","","","","","","","","","",2304,1862,605,605,"","","","","",1672586153,12,67,[11506],1,2,770,"","",2171,2183,"",685,"",685,685,685,685,2183,2171,2183,2183,2183,2183,2171,2171,2171,2171,2171,2171,2171,11452,45,605,1862,605,"",685,"",""
9,78,"","","","","","","","","","","","","",2305,1863,608,608,"","","","","",1828846209,30,100,[11507],1,3,847,"","",2172,2184,"",687,"",687,687,687,687,2184,2172,2184,2184,2184,2184,2172,2172,2172,2172,2172,2172,2172,11453,60,608,1863,608,"",687,"",""
