"rownum","WorldAreasKey","i32","[i32]","MonsterVarietiesKeys1","MonsterVarietiesKeys2","i32","i32","i32","i32"
0,3,1,[],"[1115,1116,1117,1122,1124,1126]",[449],90,200,66,0
1,4,1,[],"[1103,1105,1107,4232,4239,4246,6017,6018,6019,6020]",[472],150,350,66,0
2,5,1,[],"[2688,2651,1046,4232,4239,4246,6017,6018,6019,6020]","[1103,1105,1107]",150,400,85,0
3,6,1,[],"[1140,1143,1146,416,424]","[1134,1136,1138,1046]",150,400,85,0
4,7,1,[],"[432,1134,1136,1138]","[641,519]",250,650,85,0
5,8,1,[],"[889,498,3031]","[1134,1136,1138,641,1046]",150,450,85,0
6,9,1,[],"[886,495,907,1063,1046]","[1134,1136,1138,641]",150,450,85,0
7,10,1,[],"[651,519,2689,2652,2715,996,997,998,999]","[215,1538]",250,450,66,0
8,11,1,[],"[215,256,532]","[5250,5254]",200,500,85,0
9,12,1,[],"[649,394,539,8695]","[1208,1210,1212,8696]",250,550,85,0
10,13,1,[],"[649,403,546,579,623,8695]","[1208,1210,1212,8696]",250,600,85,0
11,14,1,[],"[313,229,267]",[472],150,600,85,0
12,15,0,[],"[425,1217,163,1037,898]","[153,178]",250,675,100,0
13,16,1,[],"[167,1053,1217,174]","[887,494]",200,650,85,0
14,17,1,[],"[488,171,886,174,3031,494]","[6017,6018,6019,6020]",200,600,85,0
15,18,2,[],"[488,481,891,889,482,902]","[460,4811]",200,650,70,0
16,20,1,[],"[339,352,874]",[1520],250,700,85,0
17,21,1,[],"[378,119,840,842,844,846,848,356,364,3861,850]","[215,5]",250,650,85,0
18,22,1,[],"[105,946,3861]","[369,366,313]",300,700,85,0
19,23,1,[],"[57,6,537,699,701,703,705,707,371]","[119,3861]",300,650,85,0
20,28,1,[],"[54,370,6,8953]","[119,364,366,356]",300,700,85,0
21,24,1,[],"[643,614,537,942]","[171,586,590]",300,700,85,0
22,25,1,[],"[653,400,942]","[610,584,590]",300,650,85,0
23,26,1,[],"[1193,1195,1197,394,943]","[947,541]",300,700,85,0
24,27,2,[],"[777,405,638]","[940,623,541]",300,800,85,0
25,29,1,[],"[874,344,357,8950]","[3085,3087,51,58]",300,620,85,0
26,30,2,[],"[940,863,2628]","[119,339,352,936]",300,700,85,0
27,31,1,[],"[50,43,936,11]","[52,8950]",300,700,85,0
28,32,1,[],"[8949,915]","[951,924]",250,550,85,0
29,33,2,[],"[866,274,8956,8957,8958,8959]","[795,791,8963]",350,750,85,0
30,34,2,[],"[59,416,4236,4242,8,424]","[119,874,8950,8952]",250,650,85,0
31,35,1,[],"[342,3085,3087,8950]","[121,882]",300,700,85,0
32,36,4,[],"[120,178,905,627,582,608,782,745,756,278]","[136,2628,3897,409,1572,1566]",250,600,85,0
