"rownum","ModsKey","i32","i32","i32"
0,22288,2,9,100
1,22289,10,14,100
2,22290,15,20,100
3,22298,21,30,50
4,22291,2,9,100
5,22292,10,14,100
6,22293,15,30,100
7,22204,15,30,10
8,22205,15,30,10
9,22206,15,30,10
10,22207,10,14,0
11,22208,15,30,0
12,22209,10,14,0
13,22210,15,30,0
14,22211,10,14,0
15,22212,15,30,0
16,22213,10,14,20
17,22214,15,30,20
18,22215,5,14,35
19,22216,15,30,35
20,22217,5,9,50
21,22218,10,15,50
22,22219,15,30,50
23,22220,2,9,25
24,22221,10,14,25
25,22222,15,20,25
26,22303,21,30,25
27,22223,5,9,25
28,22224,10,14,25
29,22225,15,30,25
30,22226,5,9,25
31,22227,10,14,25
32,22228,15,30,25
33,22229,2,9,25
34,22230,10,14,25
35,22231,15,20,25
36,22304,21,30,25
37,22232,5,9,25
38,22233,10,14,25
39,22234,15,30,25
40,22235,5,9,25
41,22236,10,14,25
42,22237,15,30,25
43,22238,2,9,25
44,22239,10,14,25
45,22240,15,20,25
46,22301,21,30,25
47,22241,5,9,25
48,22242,10,14,25
49,22243,15,30,25
50,22244,5,9,25
51,22245,10,14,25
52,22246,15,30,25
53,22247,2,9,25
54,22248,10,14,25
55,22249,15,20,25
56,22302,21,30,25
57,22250,10,14,25
58,22251,15,17,25
59,22252,15,30,25
60,22253,5,9,25
61,22254,10,14,25
62,22255,15,30,25
63,22256,2,9,25
64,22257,10,14,25
65,22258,15,20,25
66,22305,21,30,25
67,22259,10,14,25
68,22260,15,17,25
69,22261,18,30,25
70,22262,10,14,20
71,22263,15,30,20
72,22264,2,9,20
73,22265,10,14,20
74,22266,15,30,20
75,22267,10,14,10
76,22268,15,17,10
77,22269,15,30,10
78,22270,2,9,100
79,22271,10,14,100
80,22272,15,30,100
81,22273,10,14,25
82,22274,15,30,25
83,22275,10,14,25
84,22276,15,30,25
85,22277,10,14,25
86,22278,15,30,25
87,22279,10,14,0
88,22280,15,30,0
89,22281,10,14,10
90,22282,15,20,10
91,22300,21,30,10
92,22283,10,14,10
93,22284,15,30,10
94,22285,2,9,30
95,22286,10,14,30
96,22287,15,30,30
97,22294,2,9,40
98,22295,10,14,40
99,22296,15,20,40
100,22299,21,30,40
