"rownum","Monster"
0,5532
1,4259
2,5131
3,1051
4,5144
5,5141
6,5143
7,5140
8,5137
9,5644
10,5138
11,5139
12,5146
13,5645
14,5646
15,5142
16,5145
17,5147
18,5128
19,5641
20,5642
21,5126
22,5127
23,5129
24,5130
25,5156
26,5165
27,5158
28,5159
29,5167
30,5168
31,5135
32,5132
33,5643
34,5133
35,5134
36,5136
37,5164
38,5172
39,5160
40,5169
41,5162
42,5163
43,5171
44,5650
45,5652
46,5161
47,5170
48,5649
49,5651
50,5157
51,5166
52,5173
53,5155
54,5153
55,5154
56,5150
57,5647
58,5148
59,5149
60,5151
61,5648
62,5152
63,5124
64,5125
65,5116
66,5118
67,5122
68,5123
69,5115
70,5112
71,5638
72,5113
73,5114
74,5119
75,5639
76,5640
77,5117
78,5121
79,5120
80,5182
81,5183
82,5187
83,5185
84,5186
85,5656
86,5184
87,5655
88,5181
89,5175
90,5176
91,5180
92,5178
93,5179
94,5654
95,5177
96,5653
97,5174
98,1050
99,5197
100,5198
101,5199
102,5194
103,5195
104,5196
105,5188
106,5189
107,5190
108,5191
109,5192
110,5193
111,5200
112,5203
113,5201
114,5202
115,2102
116,7501
117,7502
118,7503
119,7504
120,7505
121,7506
122,7507
123,7508
124,7509
125,7510
126,7511
127,7512
128,7513
129,7514
130,7515
131,7516
132,7517
133,7518
134,7519
135,7520
136,7521
137,7522
138,7523
139,7524
140,7525
141,7526
142,7527
143,7528
144,7529
145,7530
146,7531
147,7532
148,7533
149,7534
150,7535
151,7536
152,7537
153,7538
154,7539
155,7540
156,7541
157,7542
158,7543
159,7544
160,7545
161,7546
162,7547
163,7548
164,7549
165,7550
166,7551
167,7552
168,7553
169,7554
170,7555
171,7556
172,7557
173,7558
174,7559
175,7560
176,7561
177,7562
178,7563
179,7564
180,7565
181,7566
182,7567
183,7568
184,7569
185,7570
186,7571
187,7572
188,7573
189,7574
190,7575
191,7576
192,7577
193,7578
194,7579
195,7580
196,7581
197,7582
198,7583
199,7584
200,7585
201,7586
202,7587
203,7588
204,7589
205,7590
206,7591
207,7592
208,7593
209,7594
210,7595
211,7596
212,7597
213,7598
214,7599
215,7600
216,7601
217,7602
218,7603
219,7604
220,7605
221,7606
222,7607
223,7608
224,7609
225,7610
226,7611
227,7612
228,7613
229,7614
230,7615
231,7616
232,7617
233,7618
234,7619
235,7620
236,7621
237,7622
238,7623
239,7624
240,7625
241,7626
242,7627
243,7628
244,7629
245,7630
246,7631
247,7632
248,7633
249,7634
250,7635
251,7636
252,7637
253,7638
254,7639
255,7640
256,7641
257,7642
258,7643
259,7644
260,7645
261,7646
262,7647
263,7648
264,7649
265,7650
266,7651
267,7652
268,7653
269,7654
270,7655
271,7656
272,7657
273,7658
274,7659
275,7660
276,7661
277,7662
278,7663
279,7664
280,7665
281,7666
282,7667
283,7668
284,7669
285,7670
286,7671
287,7672
288,7673
289,7674
290,7675
291,7676
292,7677
293,7678
294,7679
295,7680
296,7681
297,7682
298,7683
299,7684
300,7685
301,7686
302,7687
303,7688
304,7689
305,7690
306,7691
307,7692
308,7693
309,7694
310,7695
311,7696
312,7697
313,7698
314,7699
315,7700
316,7701
317,7702
318,7703
319,7704
320,7705
321,7706
322,7707
323,7708
324,7709
325,7710
326,7711
327,7712
328,7713
329,7714
330,7715
331,7716
332,7717
333,7718
334,7719
335,7720
336,7721
337,7722
338,7723
339,7724
340,7725
341,7726
342,7727
343,7728
344,7729
345,7730
346,7731
347,7732
348,7733
349,7734
350,7735
351,7736
352,7737
353,7738
354,7739
355,7740
356,7741
357,7742
358,7743
359,7744
360,7745
361,7746
362,7747
363,7748
364,7749
365,7750
366,7751
367,7752
368,7753
369,7761
370,7782
371,7295
372,7296
373,7297
374,7298
375,7299
376,7300
377,7301
378,7302
379,7303
380,7304
381,7305
382,7306
383,7307
384,7308
385,7309
386,7310
387,7311
388,7312
389,7313
390,7314
391,7315
392,7316
393,7317
394,7318
395,7319
396,7320
397,7321
398,7322
399,7323
400,7324
401,7325
402,7326
403,7327
404,7328
405,7329
406,7330
407,7331
408,7332
409,7333
410,7334
411,7335
412,7336
413,7337
414,7338
415,7340
416,7341
417,7342
418,7343
419,7344
420,7345
421,7346
422,7347
423,7348
424,7349
425,7350
426,7351
427,7352
428,7353
429,7354
430,7355
431,7356
432,7357
433,7358
434,7359
435,7360
436,7361
437,7362
438,7363
439,7364
440,7365
441,7366
442,7367
443,7368
444,7369
445,7370
446,7371
447,7372
448,7373
449,7374
450,7375
451,7376
452,7377
453,7378
454,7379
455,7380
456,7381
457,7382
458,7383
459,7384
460,7385
461,7386
462,7387
463,7388
464,7389
465,7390
466,7391
467,7392
468,7393
469,7394
470,7395
471,7396
472,7397
473,7398
474,7399
475,7400
476,7401
477,7402
478,7403
479,7404
480,7405
481,7406
482,7407
483,7408
484,7409
485,7410
486,7411
487,7412
488,7413
489,7414
490,7415
491,7416
492,7417
493,7418
494,7419
495,7420
496,7421
497,7422
498,7423
499,7424
500,7425
501,7426
502,7427
503,7428
504,7429
505,5237
506,5238
507,2543
508,4674
509,6995
510,6996
511,6997
512,7000
513,7001
514,7002
515,7003
516,7004
517,7005
518,7006
519,7007
520,7008
521,7009
522,7010
523,7011
524,7012
525,7013
526,7014
527,7015
528,7016
529,7017
530,7018
531,7019
532,7020
533,7021
534,7022
535,7023
536,7024
537,7025
538,7026
539,7027
540,7028
541,7029
542,7030
543,7031
544,7032
545,7033
546,7034
547,7035
548,7036
549,7037
550,7038
551,7040
552,7041
553,7043
554,7044
555,7045
556,7047
557,7048
558,7049
559,7050
560,7051
561,7052
562,7053
563,7054
564,7055
565,7056
566,7057
567,7058
568,7060
569,7061
570,7062
571,7063
572,7064
573,7065
574,7066
575,7067
576,7068
577,7069
578,7070
579,7072
580,7073
581,7075
582,7076
583,7077
584,7079
585,7080
586,7082
587,7084
588,7086
589,7087
590,7089
591,7090
592,7093
593,7094
594,7095
595,7098
596,7101
597,7102
598,7104
599,7106
600,7107
601,7108
602,7109
603,7110
604,7111
605,7112
606,7113
607,7114
608,7115
609,7116
610,7117
611,7118
612,7119
613,7120
614,7121
615,7122
616,7123
617,7124
618,7125
619,7127
620,7128
621,7130
622,7131
623,7133
624,7134
625,7136
626,7137
627,7138
628,7139
629,7140
630,7141
631,7142
632,7143
633,7144
634,7145
635,7146
636,7147
637,7148
638,7149
639,7150
640,7151
641,7152
642,7153
643,7154
644,7155
645,7156
646,7157
647,7432
648,7440
649,7441
650,7442
651,2800
652,2801
653,2804
654,2805
655,2806
656,2807
657,2808
658,3480
659,3481
660,3482
661,3483
662,3484
663,3485
664,3486
665,3487
666,3488
667,3489
668,3490
669,3491
670,3492
671,3493
672,3494
673,3495
674,3496
675,3497
676,3498
677,3499
678,3500
679,3501
680,3502
681,3503
682,3504
683,3505
684,3506
685,2788
686,2790
687,2786
688,2794
689,2796
690,2792
691,5988
692,5989
693,5990
694,5991
695,5992
696,5993
697,5994
698,5995
699,5996
700,5997
701,5998
702,5999
703,6000
704,6012
705,6013
706,6014
707,6017
708,6018
709,6019
710,6021
711,6023
712,6024
713,6026
714,6028
715,6031
716,6034
717,6036
718,6038
719,6039
720,6135
721,6136
722,6137
723,6138
724,3144
725,3145
726,4678
727,4679
728,7994
729,7995
730,7996
731,7997
732,7998
733,7999
734,8000
735,8001
736,8002
737,8003
738,8004
739,8005
740,8006
741,8007
742,8008
743,8009
744,8010
745,8011
746,8012
747,8013
748,8014
749,8015
750,8016
751,8017
752,8018
753,8019
754,8020
755,8021
756,8022
757,8023
758,8024
759,8026
760,8027
761,8028
762,8029
763,8030
764,8031
765,8032
766,8033
767,8034
768,8035
769,8036
770,8037
771,8038
772,8039
773,8040
774,8041
775,8042
776,8043
777,8044
778,8045
779,8046
780,8047
781,8048
782,8049
783,8056
784,8057
785,8058
786,8059
787,8060
788,8061
789,8062
790,8063
791,8064
792,8065
793,8066
794,8067
795,8069
