"rownum","BaseItemTypesKey","Id","AOFile","MapAOFile","f32","MiscObject","PortalEffect","f32","string","PortalEffectLarge","i32","i32","Script"
0,503,1,"Metadata/Effects/Microtransactions/Town_Portals/supporter_01/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_01/rig_map.ao",1,"","",1,"","",0,0,""
1,510,2,"Metadata/Effects/Microtransactions/Town_Portals/supporter_02/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_02/rig_map.ao",1,"","",1,"","",0,0,""
2,511,3,"Metadata/Effects/Microtransactions/Town_Portals/supporter_03/supporter_portal_03.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_03/supporter_portal_03_map.ao",1,"","",1,"","",0,0,""
3,512,4,"Metadata/Effects/Microtransactions/Town_Portals/supporter_04/supporter_04.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_04/supporter_04_map.ao",1,"","",1,"","",0,0,""
4,513,5,"Metadata/Effects/Microtransactions/Town_Portals/supporter_05/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_05/rig_map.ao",1,"","",1,"","",0,0,""
5,509,6,"Metadata/Effects/Microtransactions/Town_Portals/black_hole/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/black_hole/rig_map.ao",1,"","",1,"","",0,0,""
6,504,7,"Metadata/Effects/Microtransactions/Town_Portals/supporter_red_01/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_red_01/rig_map.ao",1,"","",1,"","",0,0,""
7,505,8,"Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_01/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_01/rig_map.ao",1,"","",1,"","",0,0,""
8,506,9,"Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_04/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_04/rig_map.ao",1,"","",1,"","",0,0,""
9,507,10,"Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_02/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/steam_portals/steam_portal_02/rig_map.ao",1,"","",1,"","",0,0,""
10,638,11,"Metadata/Effects/Microtransactions/Town_Portals/arctic_portal/arctic_portal.ao","Metadata/Effects/Microtransactions/Town_Portals/arctic_portal/arctic_portal_map.ao",1,"","",1,"","",0,0,""
11,702,12,"Metadata/Effects/Microtransactions/Town_Portals/sovereign_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/sovereign_portal/rig_map.ao",1,"","",1,"","",0,0,""
12,703,13,"Metadata/Effects/Microtransactions/Town_Portals/ascendant_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/ascendant_portal/rig_map.ao",1,"","",1,"","",0,0,""
13,700,14,"Metadata/Effects/Microtransactions/Town_Portals/aspirant_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/aspirant_portal/rig_map.ao",1,"","",1,"","",0,0,""
14,701,15,"Metadata/Effects/Microtransactions/Town_Portals/challenger_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/challenger_portal/rig_map.ao",1,"","",1,"","",0,0,""
15,719,16,"Metadata/Effects/Microtransactions/Town_Portals/malachai_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/malachai_portal/rig_map.ao",1,"","",1,"","",0,0,""
16,726,17,"Metadata/Effects/Microtransactions/Town_Portals/Perandus_portal/player.ao","Metadata/Effects/Microtransactions/Town_Portals/Perandus_portal/player_map.ao",1,"","",1,"","",0,0,""
17,749,18,"Metadata/Effects/Microtransactions/Town_Portals/prophecy_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/prophecy_portal/rig_map.ao",1,"","",1,"","",0,0,""
18,751,19,"Metadata/Effects/Microtransactions/Town_Portals/DemonkingPortal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/DemonkingPortal/rig_map.ao",1,"","",1,"","",0,0,""
19,814,20,"Metadata/Effects/Microtransactions/Town_Portals/essence_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/essence_portal/rig_map.ao",1,"","",1,"","",0,0,""
20,514,21,"Metadata/Effects/Microtransactions/Town_Portals/ShaperPortal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/ShaperPortal/rig_map.ao",1,"","",1,"","",0,0,""
21,827,22,"Metadata/Effects/Microtransactions/Town_Portals/GorePortal/GorePortal.ao","Metadata/Effects/Microtransactions/Town_Portals/GorePortal/GorePortal_map.ao",1,"","",1,"","",0,0,""
22,871,23,"Metadata/Effects/Microtransactions/Town_Portals/BreachSupporterPortal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/BreachSupporterPortal/rig_map.ao",1,"","",1,"","",0,0,""
23,853,24,"Metadata/Effects/Microtransactions/Town_Portals/Breach_portal/Breach_portal_player.ao","Metadata/Effects/Microtransactions/Town_Portals/Breach_portal/Breach_portal_player_map.ao",1,"","",1,"","",0,0,""
24,508,25,"Metadata/Effects/Microtransactions/Town_Portals/VaalPortal/portal_vaal_inmap.ao","Metadata/Effects/Microtransactions/Town_Portals/VaalPortal/portal_vaal_inmap.ao",1,"","",1,"","Metadata/Effects/Microtransactions/Town_Portals/VaalPortal/portal_vaal.ao",0,0,""
25,879,26,"Metadata/Effects/Microtransactions/Town_Portals/KaomPortal/KaomPortal.ao","Metadata/Effects/Microtransactions/Town_Portals/KaomPortal/KaomPortalMap.ao",1,"","",1,"","",0,0,""
26,880,27,"Metadata/Effects/Microtransactions/Town_Portals/DaressoPortal/DaressoPortal.ao","Metadata/Effects/Microtransactions/Town_Portals/DaressoPortal/DaressoPortalMap.ao",1,"","",1,"","",0,0,""
27,885,28,"Metadata/Effects/Microtransactions/Town_Portals/classic/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/classic/rig_map.ao",1,"","",1,"","",0,0,""
28,890,29,"Metadata/Effects/Microtransactions/Town_Portals/supporter_purple/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/supporter_purple/rig_map.ao",1,"","",1,"","",0,0,""
29,979,30,"Metadata/Effects/Microtransactions/Town_Portals/twitch_portal/twitch_portal.ao","Metadata/Effects/Microtransactions/Town_Portals/twitch_portal/twitch_portal.ao",1,"","",1,"","",0,0,""
30,1047,31,"Metadata/Effects/Microtransactions/Town_Portals/Dark_Light/Dark/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/Dark_Light/Dark/rig_map.ao",1,"","",1,"","",0,0,""
31,1048,32,"Metadata/Effects/Microtransactions/Town_Portals/Dark_Light/Light/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/Dark_Light/Light/rig_map.ao",1,"","",1,"","",0,0,""
32,1184,33,"Metadata/Effects/Microtransactions/Town_Portals/RedeemerPortal/RedeemerPortal.ao","Metadata/Effects/Microtransactions/Town_Portals/RedeemerPortal/RedeemerPortalMap.ao",1,"","",1,"","",0,0,""
33,1192,34,"Metadata/Effects/Microtransactions/Town_Portals/SubjugatorPortal/SubjugatorPortal.ao","Metadata/Effects/Microtransactions/Town_Portals/SubjugatorPortal/SubjugatorPortal.ao",1,"","",1,"","",0,0,""
34,1200,35,"Metadata/Effects/Microtransactions/Town_Portals/Dominator_portal/dominator_portal.ao","Metadata/Effects/Microtransactions/Town_Portals/Dominator_portal/dominator_portal_map.ao",1,"","",1,"","",0,0,""
35,1086,36,"Metadata/Effects/Microtransactions/Town_Portals/voidgate_blue/voidgateblue.ao","Metadata/Effects/Microtransactions/Town_Portals/voidgate_blue/voidgateblue_map.ao",1,"","",1,"","",0,0,""
36,1203,37,"Metadata/Effects/Microtransactions/Town_Portals/Fire_Ice/fire/FirePortal.ao","Metadata/Effects/Microtransactions/Town_Portals/Fire_Ice/fire/FirePortalMap.ao",1,"","",1,"","",0,0,""
37,1204,38,"Metadata/Effects/Microtransactions/Town_Portals/Fire_Ice/ice/IcePortal.ao","Metadata/Effects/Microtransactions/Town_Portals/Fire_Ice/ice/IcePortalMap.ao",1,"","",1,"","",0,0,""
38,1205,39,"Metadata/Effects/Microtransactions/Town_Portals/Fire_Ice/fireice/FireIce_Portal.ao","Metadata/Effects/Microtransactions/Town_Portals/Fire_Ice/fireice/FireIce_Portal_Map.ao",1,"","",1,"","",0,0,""
39,1239,40,"Metadata/Effects/Microtransactions/Town_Portals/AbyssPortal/abyss_portal.ao","Metadata/Effects/Microtransactions/Town_Portals/AbyssPortal/abyss_portal_map.ao",1,"","",1,"","",0,0,""
40,1240,41,"Metadata/Effects/Microtransactions/Town_Portals/abyss_imp/abyss_imp_portal.ao","Metadata/Effects/Microtransactions/Town_Portals/abyss_imp/abyss_imp_portal_map.ao",1,"","",1,"","",0,0,""
41,1559,42,"Metadata/Effects/Microtransactions/Town_Portals/ScholarPortal/ScholarPortal.ao","Metadata/Effects/Microtransactions/Town_Portals/ScholarPortal/ScholarPortalMap.ao",1,"","",1,"","",0,0,""
42,1574,43,"Metadata/Effects/Microtransactions/Town_Portals/Sin_portal/Sin_portal01/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/Sin_portal/Sin_portal01/rig_map.ao",1,"","",1,"","",0,0,""
43,1589,44,"Metadata/Effects/Microtransactions/Town_Portals/innocence_portal/innocence_portal.ao","Metadata/Effects/Microtransactions/Town_Portals/innocence_portal/innocence_portal_map.ao",1,"","",1,"","",0,0,""
44,1598,45,"Metadata/Effects/Microtransactions/Town_Portals/Sinnocence_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/Sinnocence_portal/rig_map.ao",1,"","",1,"","",0,0,""
45,1625,46,"Metadata/Effects/Microtransactions/Town_Portals/BestiaryPortal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/BestiaryPortal/rig_map.ao",1,"","",1,"","",0,0,""
46,1633,47,"Metadata/Effects/Microtransactions/Town_Portals/spirit_realm_portal/bestiary_spirit_portal.ao","Metadata/Effects/Microtransactions/Town_Portals/spirit_realm_portal/bestiary_spirit_portal_map.ao",1,"","",1,"","",0,0,""
47,1647,48,"Metadata/Effects/Microtransactions/Town_Portals/KrakenPortal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/KrakenPortal/rig_map.ao",1,"","",1,"","",0,0,""
48,1670,49,"Metadata/Effects/Microtransactions/Town_Portals/Council_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/Council_portal/rig_map.ao",1,"","",1,"","",0,0,""
49,1675,50,"Metadata/Effects/Microtransactions/Town_Portals/Conquest_portal/rig.ao","Metadata/Effects/Microtransactions/Town_Portals/Conquest_portal/rig_map.ao",1,"","",1,"","",0,0,""
