"rownum","Width","Height","i32","Item"
0,1,1,0,5218
1,1,2,0,5219
2,1,3,0,5220
3,1,4,0,5221
4,2,1,0,5222
5,2,2,0,5223
6,2,3,0,5224
7,2,4,0,5225
8,3,1,0,5228
9,3,2,0,5226
10,3,3,0,5227
11,4,1,0,5229
12,1,1,1,5252
13,1,2,1,5253
14,1,3,1,5254
15,1,4,1,5255
16,2,1,1,5256
17,2,2,1,5257
18,2,3,1,5258
19,2,4,1,5259
20,3,1,1,5261
21,3,2,1,5260
22,4,1,1,5262
23,1,1,2,5230
24,1,2,2,5231
25,1,3,2,5232
26,1,4,2,5233
27,2,1,2,5234
28,2,2,2,5235
29,2,3,2,5236
30,2,4,2,5237
31,3,2,2,5238
32,3,1,2,5239
33,4,1,2,5240
34,1,1,3,5241
35,1,2,3,5242
36,1,3,3,5243
37,1,4,3,5244
38,2,1,3,5245
39,2,2,3,5246
40,2,3,3,5247
41,2,4,3,5248
42,3,2,3,5249
43,3,1,3,5250
44,4,1,3,5251
