"rownum","BaseItemType","Scaling","Name"
0,10228,0.85,"Bazira"
1,10229,0.85,"Tsvet Matvei"
2,10230,0.85,"Bazira"
3,10231,0.85,"Count Geonor"
4,10232,0.85,"The Crimson Scribe"
5,10233,0.85,"The Midnight Tinkerer"
6,10234,0.85,"Aline Koltz"
7,10235,0.85,"Tsvet Matvei"
8,10236,0.85,"Administrator Qotra"
9,10237,0.85,"Count Geonor"
10,10238,0.85,"Nishem"
11,10239,0.85,"Aline Koltz"
12,10240,0.85,"Count Geonor"
13,10241,0.85,"Marcine Clavus"
14,10242,0.85,"Marcine Clavus"
15,10243,0.85,"Marcine Clavus"
16,10244,0.85,"Marcine Clavus"
17,10245,0.85,"Marcine Clavus"
18,10246,1.2,"Selwyn Eddard"
19,10247,1.2,"Kondor Larcius"
20,10248,1.2,"Grond Ironeye"
21,10249,1.2,"Bazira"
22,10250,1.2,"Bazira"
23,10251,1.2,"Kondor Larcius"
24,10252,1.2,"The Crimson Scribe"
25,10253,1.2,"Administrator Qotra"
26,10254,1.2,"Administrator Qotra"
27,10255,1.2,"The Crimson Scribe"
28,10256,1.2,"Remus Hestor"
29,10257,1.2,"Nishem"
30,10258,1.2,"The Crimson Scribe"
31,10259,1.2,"Anton Laffrey"
32,10260,1.5,"Tsvet Matvei"
33,10261,1.5,"Kondor Larcius"
34,10262,1.5,"The Midnight Tinkerer"
35,10263,1.5,"Bazira"
36,10264,1.5,"Kondor Larcius"
37,10265,1.5,"The Crimson Scribe"
38,10266,3,"Administrator Qotra"
39,10267,3,"Cardinal Uthelius"
40,10268,3,"Castor Pollinius III"
41,10269,0.3,""
42,10270,0.3,""
43,10271,0.3,""
44,10272,0.3,""
45,10273,0.3,""
46,10274,0.3,""
47,10275,0,"Karst"
48,10276,0,"Karst"
49,10277,0,"Karst"
50,10278,0,"Tibbs"
51,10279,0,"Tibbs"
52,10280,0,"Huck"
53,10281,0,"Huck"
54,10282,0,"Vinderi"
55,10283,0,"Vinderi"
56,10284,0,"Gianna"
57,10285,0,"Gianna"
58,10286,0,"Tullina"
59,10287,0,"Tullina"
60,10288,0,"Niles"
61,10289,0,"Niles"
62,10290,0,"Nenet"
63,10291,0,"Nenet"
64,10292,0,"Isla"
65,10293,0,"Isla"
66,10294,0,"Isla"
67,10295,0,"Adiyah"
68,10296,0,"Adiyah"
69,10297,0,"Adiyah"
70,10298,0,"Whakano"
71,10299,0,"Whakano"
72,10300,0,"Whakano"
73,10301,0,"Faustus"
74,10303,0,"Faustus"
75,10304,0,"Faustus"
76,10305,0,"Kurai"
77,10306,0,"Kurai"
78,10307,0,"Kurai"
79,10308,0,"Kurai"
